review_text,star_rating,date,app_version,sentiment,primary_theme,secondary_theme,summary
"حتى مع المطعم الذي يسمح بالطلب المسبق، عندما تحاول طلبها مسبقا، يقول التطبيق فقط ""هذا المطعم مشغول حاليا"" مع رمز تعبيري للنحلة؟ أوه ، قام المطعم بإلغاء طلبك إذا وضعتها قبل 10 دقائق من الإغلاق ، كنت أنتظر لمدة ساعة حتى أبلغني السائق ، من الواضح أن تجربة ""Talabat"" تنتظر طلبا لم يصل فعليا.",1,2026-05-25,,Negative,Other,Customer Support,"User dissatisfied, mentions other"
"One of the worst delivery App, The discounts you see On restaurant aren't real and just show the same price, Grocery can heavily be delayed for hours when It claimed 30 minutes, Customer Service is almost impossible to contact and barely helpful, Some orders get canceled with no explanation whatsoever, Even with location pinned somehow some drivers don't know where the house is, Groceries Most of the time get missing items but the order didn't get canceled nor I was informed by the driver.",1,2026-05-25,13.60.1,Negative,Delivery Speed,Order Accuracy,User frustrated with slow delivery times
ماكو خصومات و حتى لو المطعم بصف البيت ما يشيلون او يقللون من سعر التوصيل,1,2026-05-25,,Negative,Other,,"User dissatisfied, mentions other"
"I am so disappointed from their service, first experience electronic device is broken, they refuse to return the money and asked me to handle it directly with the supplier, second experience, food full of bugs, full refund was refused, only partially refund was applied. The staff who was handling my last complaint did not care much about how i felt as a client, collecting the money was more important than my experience.",1,2026-05-25,13.60.0,Negative,App UX / Navigation,Restaurant Selection,"User dissatisfied, mentions app ux / navigation"
"fake discounts, they increase or double the price then tell you there's a 50% discount",1,2026-05-24,13.60.1,Negative,Pricing / Promotions,Order Accuracy,User dissatisfied with pricing or promo codes not working
this app takes years to verify and e mail send and they'll give you fake discounts and toters is better,1,2026-05-24,13.46.0,Negative,App UX / Navigation,Customer Support,"User dissatisfied, mentions app ux / navigation"
ئەپێکی خراپە ڕۆژی 8سەعات زیاتر نیە ئەڕۆمە سەری بەس نیوەڕۆ هەیە ئێوارە نیە ئێستا حەوتی ئێوارەیە هەمووی داخراوە,2,2026-05-24,13.59.0,Negative,Other,,"User dissatisfied, mentions other"
My number is not accepted upon request.,1,2026-05-24,13.59.0,Negative,Other,,"User dissatisfied, mentions other"
ابلكيشن مفيش فيه امان بتحط الفيزا وبتطلب من غير مايبعت تأكيد الرقم السري وده بيشجع ع السرقه ومن غير حساب وكمان مفيش خدمه دعم علي الابلكيشن ترد عليك او علي اي شكوي في حاله الطلب الخاطئ ....ابلكيشن اديله صفر,1,2026-05-24,13.60.1,Negative,Other,,"User dissatisfied, mentions other"
great fast service,5,2026-05-24,,Positive,Delivery Speed,,User impressed with fast delivery service
بقي بياخد فلوس كتير وبيزود علي تمن الاصناف,1,2026-05-24,,Negative,Other,,"User dissatisfied, mentions other"
بالأمس وصلني الطلب ناقص و بعثت برسالة أطلب فيها ارسال العنصر الناقص الى الآن لم يتواصل معي احد ولا ارسلوا الصنف الناقص ولا ردوا المبلغ يجب ان يتوفر قي التطبيق اختيار التحدث الى فرد من خدمة العملاء صراحة طلبات مستواهم في انحدار مستمر,1,2026-05-24,13.58.0,Negative,Other,Pricing / Promotions,"User dissatisfied, mentions other"
when will u deliver from Dunkin to garden city and al manyal ??! 👎👎 i dont see why u cant deliver from the closest branch. i dont care if it costs more or requires longer.,1,2026-05-24,13.60.1,Negative,Delivery Speed,,User frustrated with slow delivery times
I go to the talabat mart can't working please fix this problem,2,2026-05-24,13.59.0,Negative,App Crashes / Bugs,,User experiencing app crashes and technical issues
كل شهر الاوردر يجي ناقص منتجات واخر اوردر اهو بتاريخ 22مايو من يومين محدش راضي يرجعلي فلوسي سرقه علني منكم لله,1,2026-05-24,,Negative,Other,Restaurant Selection,"User dissatisfied, mentions other"
شركة طلبات المهم كيف يسثمروا في امان العملاء,1,2026-05-24,13.60.1,Negative,Other,,"User dissatisfied, mentions other"
"excellent service, they made my say daily",5,2026-05-24,13.59.0,Positive,Customer Support,,User satisfied with the service
most of the restaurants and shops say closed even tho they're open. higher prices than the actual prices in restaurants and excessive extra fees. hope all that gets fixed soon.,2,2026-05-24,13.59.0,Negative,Pricing / Promotions,,User dissatisfied with pricing or promo codes not working
كافي اعلانات لخاطر الله كافي مو دمرتونا الله لا يوفقكم مو نزلته وهم ما خلصت من الاعلانات,1,2026-05-24,13.60.1,Negative,Other,,"User dissatisfied, mentions other"
ai support is the worst,1,2026-05-24,13.52.1,Negative,Customer Support,,User unhappy with unresponsive customer support
وحش اوي مش بنعرف ن كنسل الأوردرات,1,2026-05-24,13.58.0,Negative,Other,Order Accuracy,"User dissatisfied, mentions other"
